Name,Studio,Description,Founded,Amount Raised,Crunchbase URL,LinkedIn URL,Website,# Employees,End Customer,Industry,City,State,Country,Status
Evenly,25Fifteen,SMB credit risk insight platform,2019,,https://www.crunchbase.com/organization/evenly-e522,https://www.linkedin.com/company/getevenly/,https://evenly.com.au,2,Business,Fintech,Chippendale,,Australia,Active
Fame and Partners,25Fifteen,Apparel and fashion platform for women,2014,$10,https://www.crunchbase.com/organization/fame-partners,https://www.linkedin.com/company/fame-&-partners/,https://www.fameandpartners.com,16,Consumer,Retail Apparel,Los Angeles,CA,USA,Active
Flamingo,25Fifteen,Information sharing and collaboration platform,2014,$13,https://www.crunchbase.com/organization/flamingo-ventures,https://www.linkedin.com/company/flamingoai/,http://flamingo.ai/,5,Business,Software Development,Sydney,,Australia,Acquired
GoCatch,25Fifteen,Ride share and taxi booking platform,2011,$15,https://www.crunchbase.com/organization/gocatch,https://www.linkedin.com/company/gocatch/,https://gocatch.com,24,Consumer,Software Development,Pyrmont,,Australia,Active
Sneaking Duck,25Fifteen,Online prescription fashion glasses retailer,2011,,https://www.crunchbase.com/organization/sneaking-duck,https://www.linkedin.com/company/sneaking-duck/about/,https://www.sneakingduck.com,2,Consumer,Retail Apparel,Surry Hills,,Australia,Acquired
Tinybeans,25Fifteen,Journaling and photo sharing app,2012,$9,https://www.crunchbase.com/organization/tinybeans,https://www.linkedin.com/company/tinybeans/,https://tinybeans.com,80,Consumer,Software Development,New York,NY,USA,Active
Artza,25madison,Israeli goods gift boxes,2020,,https://www.crunchbase.com/organization/artza,https://www.linkedin.com/company/artzabox/,http://www.artzabox.com/,2,Consumer,Consumer Goods,Tel Aviv,,Israel,Active
Clipjoy,25madison,Video greeting cards,2021,,https://www.crunchbase.com/organization/clipjoy,https://www.linkedin.com/company/getengram/,https://www.clipjoy.com/,2,Consumer,Digital media,New York,NY,USA,Active
Cuely,25madison,Productivity and wellness app for slack,2021,,,https://www.linkedin.com/company/cuely/,https://www.cuely.ai/?utm_source=linked-in&utm_medium=profile,9,Business,Enterprise software,Cambridge,MA,USA,Active
Onda,25madison,Sparkling tequila,2020,$19,https://www.crunchbase.com/organization/onda,https://www.linkedin.com/company/drinkonda/,https://drinkonda.com/,52,Consumer,Bever/e,New York,NY,USA,Active
Pattern,25madison,Financial advisor platform,2021,,,https://www.linkedin.com/company/pattern-financial/,https://www.patternfi.com/,9,Consumer,Finance,New York,NY,USA,Active
Rewire,25madison,Fitness platform,2018,$0,https://www.crunchbase.com/organization/rewire-fitness,https://www.linkedin.com/company/rewire-fitness/,https://rewirefitness.app/,13,Consumer,Healh and wellness,New York,NY,USA,Active
TheBeet,25madison,Vegan website,2019,,https://www.crunchbase.com/organization/the-beet,https://www.linkedin.com/company/the-beet/,https://thebeet.com/,8,Consumer,Digital media,New York,NY,USA,Active
Accolade,Accretive,"Accolade features personalized health and benefits solutions that help to improve experience, outcomes, and healthcare cost for employers.",2007,$459,https://www.crunchbase.com/organization/accolade,https://www.linkedin.com/company/accolade-inc-/,https://www.accolade.com/,1371,Business,Health Care,Seattle,WA,USA,Active
Accretive Health (Now R1 RCM),Accretive,R1 RCM serves as a revenue cycle management partner for hospitals and healthcare systems regardless of the payment models.,2003,$200,https://www.crunchbase.com/organization/accretive-health,https://www.linkedin.com/company/r1-rcm/,https://www.r1rcm.com/,"10,640",Business,Health Care,Chicago,IL,USA,Active
Accumen,Accretive,Accumen partners with hospitals and health systems to deliver Laboratory Excellence and Comprehensive Patient Blood Management.,2011,$7,https://www.crunchbase.com/organization/accumen,,https://accumen.com/,,Business,Health Care,San Diego,CA,USA,Acquired
